16,46040295
14,91975097
14,77119468
16,11912911
15,9003113
15,71453967
15,44042242
15,26803136
16,05595815
14,33258926
16,70624398
15,13295896
14,48548132
16,58524064
15,16056771
17,21973519
17,978309
17,83351945
14,72866834
15,94500685
16,230365
15,03526838
16,78653608
14,56835428
15,66336188
14,94109335
14,96411634
13,35611764
14,15241035
14,02845941
14,54933746
15,7096583
15,11762658
14,28458412
16,77971266
14,60041191
14,19389917
13,81109597
15,36498179
14,4713879
14,34389893
14,39148496
14,3760326
16,37233995
15,0423495
16,36145254
13,62886894
14,97649221
16,77214314
15,19778175
14,25689091
14,47914434
14,60746678
14,96212808
15,1972735
16,22123922
14,35182737
14,5244565
13,65765529
15,79882584
15,02329268
13,73218769
14,80983707
14,95148191
15,19778175
15,61364104
16,44517365
15,44883765
15,77655361
16,57440586
14,39078838
14,62364257
16,33705609
15,84206443
13,46166188
14,97657577
15,14204982
15,51933857
14,23319145
15,73044061
15,47264441
15,08509119
15,71142599
15,15651433
15,32125758
14,30728374
15,65066102
13,87195409
14,61759025
16,17341605
15,28924849
14,0136283
14,39060275
14,29705004
13,5273347
15,99611429
14,36513423
13,97440554
14,01695106
14,27293037
14,73218902
14,61262378
14,83286345
12,20295199
15,81141681
14,1180837
14,33509982
15,82610475
14,88045533
14,34497756
15,9218994
13,2017448
15,4180007
15,82165925
16,38090675
15,50954334
13,75788684
13,34425721
15,03905866
15,86614261
14,02340696
14,32639552
16,5131053
15,07922663
14,40986664
15,58676798
15,22029747
14,32106065
16,36162231
15,14972042
14,55034169
14,57250348
16,4236925
15,44664319
15,10838775
16,43238821
15,21258204
14,93547994
15,11740666
14,70177771
15,34490712
14,68727111
16,30082804
15,54617986
16,73594542
12,62389977
14,71480993
15,44848981
14,09233539
14,25050252
15,76596517
16,32252319
15,3369661
12,66688846
16,03087165
15,52399453
13,64320738
13,42431786
14,86775906
14,86806414
14,15354188
15,28746898
13,9598547
14,76023193
15,71412823
13,67395694
14,66536822
14,78211271
14,04946256
14,29592015
15,65812607
14,17169431
16,2541906
15,77020127
13,8181314
14,64955361
15,02311287
13,93946896
16,04190605
16,92122117
13,99916734
16,75782354
14,09898706
14,61325734
15,18268143
15,45329383
24,35040725
13,77083847
15,59222553
15,46889188
14,34699591
14,68726189
14,23618564
15,50957491
15,08270517
15,61146316
14,95509754
14,85861945
16,031312
14,25667659
16,46040295
14,91975097
14,77119468
16,11912911
15,9003113
15,71453967
15,44042242
15,26803136
16,05595815
14,33258926
16,70624398
15,13295896
14,48548132
16,58524064
15,16056771
17,21973519
17,978309
17,83351945
14,72866834
15,94500685
16,230365
15,03526838
16,78653608
14,56835428
15,66336188
14,94109335
14,96411634
13,35611764
14,15241035
14,02845941
14,54933746
15,7096583
15,11762658
14,28458412
16,77971266
14,60041191
14,19389917
13,81109597
15,36498179
14,4713879
14,34389893
14,39148496
14,3760326
16,37233995
15,0423495
16,36145254
13,62886894
14,97649221
16,77214314
15,19778175
14,25689091
14,47914434
14,60746678
14,96212808
15,1972735
16,22123922
14,35182737
14,5244565
13,65765529
15,79882584
15,02329268
13,73218769
14,80983707
14,95148191
15,19778175
15,61364104
16,44517365
15,44883765
15,77655361
16,57440586
14,39078838
14,62364257
16,33705609
15,84206443
13,46166188
14,97657577
15,14204982
15,51933857
14,23319145
15,73044061
15,47264441
15,08509119
15,71142599
15,15651433
15,32125758
14,30728374
15,65066102
13,87195409
14,61759025
16,17341605
15,28924849
14,0136283
14,39060275
14,29705004
13,5273347
15,99611429
14,36513423
13,97440554
14,01695106
14,27293037
14,73218902
14,61262378
14,83286345
12,20295199
15,81141681
14,1180837
14,33509982
15,82610475
14,88045533
14,34497756
15,9218994
13,2017448
15,4180007
15,82165925
16,38090675
15,50954334
13,75788684
13,34425721
15,03905866
15,86614261
14,02340696
14,32639552
16,5131053
15,07922663
14,40986664
15,58676798
15,22029747
14,32106065
16,36162231
15,14972042
14,55034169
14,57250348
16,4236925
15,44664319
15,10838775
16,43238821
15,21258204
14,93547994
15,11740666
14,70177771
15,34490712
14,68727111
16,30082804
15,54617986
16,73594542
12,62389977
14,71480993
15,44848981
14,09233539
14,25050252
15,76596517
16,32252319
15,3369661
12,66688846
16,03087165
15,52399453
13,64320738
13,42431786
14,86775906
14,86806414
14,15354188
15,28746898
13,9598547
14,76023193
15,71412823
13,67395694
14,66536822
14,78211271
14,04946256
14,29592015
15,65812607
14,17169431
16,2541906
15,77020127
13,8181314
14,64955361
15,02311287
13,93946896
16,04190605
16,92122117
13,99916734
16,75782354
14,09898706
14,61325734
15,18268143
15,45329383
24,35040725
13,77083847
15,59222553
15,46889188
14,34699591
14,68726189
14,23618564
15,50957491
15,08270517
15,61146316
14,95509754
14,85861945
16,031312
14,25667659
